LEASE_NUMBER,PRODUCTION_DATE,PRODUCT_CODE,MON_O_PROD_VOL,MON_G_PROD_VOL,OPERATOR_NUM
16,201901,O,0,0,3151
16,201901,O,0,0,3151
16,201901,O,0,0,3151
16,201901,O,0,0,3151
16,201901,G,0,50,3151
16,201901,O,0,0,3151
16,201901,O,304,0,3151
16,201901,U,0,0,3151
16,201901,O,0,0,3151
16,201901,O,0,0,3151
16,201901,O,0,0,3151
16,201901,O,0,0,3151
16,201901,O,0,0,3151
16,201901,O,0,0,3151
16,201901,U,0,0,3151
16,201901,O,0,0,3151
16,201901,O,335,206,3151
16,201901,O,0,0,3151
16,201901,O,1340,1307,3151
16,201901,U,0,0,3151
16,201901,O,0,0,3151
16,201901,O,0,0,3151
16,201901,O,1902,739,3151
16,201901,O,0,0,3151
16,201901,U,0,0,3151
16,201901,O,10,2,3151
16,201901,O,0,0,3151
16,201901,G,0,0,3151
16,201901,O,0,0,3151
16,201901,U,0,0,3151
16,201901,O,1020,2265,3151
16,201901,O,0,0,3151
16,201901,O,0,0,3151
16,201901,O,1593,3594,3151
16,201901,O,0,0,3151
16,201901,O,2338,2272,3151
16,201901,U,0,0,3151
16,201901,O,0,0,3151
16,201901,U,0,0,3151
16,201901,O,0,0,3151
18,201901,O,155,3416,3151
19,201901,U,0,0,2375
19,201901,U,0,0,2375
19,201901,U,0,0,2375
19,201901,G,0,4529,3151
19,201901,G,955,247,3151
19,201901,O,1350,311,3151
19,201901,G,0,0,3151
19,201901,O,784,225,3151
19,201901,O,2018,1084,3151
19,201901,O,0,0,3151
19,201901,O,0,0,3151
19,201901,O,6273,324169,3151
19,201901,U,0,0,2375
19,201901,O,3373,1648,3151
19,201901,O,935,1075,3151
19,201901,O,4374,279,3151
20,201901,O,30848,58603,3295
20,201901,U,0,0,3151
20,201901,U,0,0,3151
20,201901,U,0,0,3151
20,201901,U,0,0,3151
20,201901,O,0,0,3151
20,201901,O,2818,5754,3151
20,201901,O,2221,3276,3151
20,201901,O,926,3721,3151
20,201901,O,5760,11099,3151
20,201901,O,0,0,3151
20,201901,G,0,0,3151
20,201901,O,827,3027,3151
20,201901,O,1939,430,3151
20,201901,O,621,4215,3151
20,201901,G,0,0,3151
20,201901,G,1517,6099,3151
20,201901,U,0,0,3151
20,201901,U,0,0,3151
20,201901,G,712,138,3151
20,201901,U,0,0,3151
20,201901,O,0,0,3151
20,201901,O,1363,1137,3151
20,201901,O,0,0,3151
20,201901,O,0,0,3151
20,201901,O,12476,18608,3151
20,201901,O,0,0,3151
20,201901,O,1096,8544,3151
26,201901,U,0,0,3151
26,201901,U,0,0,3151
26,201901,U,0,0,3151
26,201901,O,0,0,3151
26,201901,U,0,0,3151
26,201901,O,1022,698,3151
26,201901,U,0,0,3151
26,201901,G,0,0,3151
26,201901,U,0,0,3151
26,201901,O,0,0,3151
26,201901,O,0,0,3151
26,201901,O,0,0,3151
26,201901,U,0,0,3151
26,201901,O,904,297,3151
26,201901,O,894,544,3151
26,201901,O,0,0,3151
26,201901,O,994,2013,3151
26,201901,O,1219,8595,3151
26,201901,O,257,2122,3151
26,201901,O,1282,984,3151
26,201901,O,0,0,3151
26,201901,O,1525,414,3151
26,201901,G,0,0,3151
26,201901,G,0,415,3151
26,201901,O,0,0,3151
26,201901,O,673,435,3151
26,201901,O,0,0,3151
26,201901,U,0,0,3151
26,201901,O,0,1844,3151
26,201901,G,0,0,3151
26,201901,O,0,0,3151
26,201901,O,252,127,3151
26,201901,O,0,0,3151
26,201901,O,0,0,3151
26,201901,O,1477,802,3151
26,201901,O,1432,769,3151
26,201901,O,1832,198,3151
26,201901,O,1205,106,3151
26,201901,O,889,142,3151
26,201901,O,0,0,3151
26,201901,O,1154,1133,3151
26,201901,O,352,0,3151
26,201901,O,0,0,3151
26,201901,O,1055,1810,3151
26,201901,O,0,0,3151
26,201901,O,0,0,3151
26,201901,O,818,370,3151
26,201901,O,0,0,3151
26,201901,O,2792,2372,3151
26,201901,O,3488,432,3151
26,201901,O,0,0,3151
26,201901,O,0,0,3151
26,201901,G,0,0,3151
26,201901,G,0,0,3151
26,201901,G,0,0,3151
26,201901,O,458,4439,3151
26,201901,U,0,0,3151
28,201901,U,0,0,3151
31,201901,O,0,0,3151
31,201901,O,620,1840,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,O,678,1987,3151
31,201901,O,0,0,3151
31,201901,O,450,774,3151
31,201901,U,0,0,3151
31,201901,O,0,0,3151
31,201901,O,1694,868,3151
31,201901,O,1020,474,3151
31,201901,O,0,0,3151
31,201901,O,0,0,3151
31,201901,U,0,0,3151
31,201901,O,0,0,3151
31,201901,G,542,2838,3151
31,201901,O,0,0,3151
31,201901,U,0,0,3151
31,201901,O,86,3261,3151
31,201901,O,745,2510,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,O,0,0,3151
31,201901,O,513,1142,3151
31,201901,O,722,672,3151
31,201901,O,0,0,3151
31,201901,O,617,753,3151
31,201901,U,0,0,3151
31,201901,O,0,0,3151
31,201901,O,0,0,3151
31,201901,O,538,2453,3151
31,201901,O,0,0,3151
31,201901,O,289,597,3151
31,201901,O,0,0,3151
31,201901,O,1540,329,3151
31,201901,O,0,0,3151
31,201901,O,1051,1350,3151
31,201901,O,1055,991,3151
31,201901,O,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,U,0,0,3151
31,201901,O,0,0,3151
31,201901,U,0,0,3151
31,201901,O,0,0,3151
31,201901,O,480,1431,3151
31,201901,O,0,0,3151
31,201901,U,0,0,3151
31,201901,O,0,0,3151
31,201901,O,1764,4190,3151
31,201901,O,0,0,3151
32,201901,O,432,942,3151
34,201901,O,935,31,3151
34,201901,U,0,0,3151
34,201901,O,874,2226,3151
34,201901,U,0,0,3151
34,201901,O,895,6840,3151
34,201901,O,99,444,3151
34,201901,O,140,3728,3151
34,201901,U,0,0,3151
34,201901,U,0,0,3151
34,201901,U,0,0,3151
34,201901,O,339,0,3151
34,201901,O,147,0,3151
34,201901,O,0,0,3151
34,201901,U,0,0,3151
34,201901,U,0,0,3151
34,201901,O,92,4072,3151
34,201901,O,223,617,3151
34,201901,O,464,847,3151
34,201901,U,0,0,3151
34,201901,O,2408,2491,3151
34,201901,O,0,0,3151
34,201901,O,0,0,3151
49,201901,O,6542,2094,3295
49,201901,O,0,0,3295
49,201901,O,0,0,3295
49,201901,O,0,0,3295
49,201901,O,1456,439,3295
49,201901,O,0,0,3295
49,201901,O,0,0,3295
49,201901,U,0,0,3295
49,201901,O,0,0,3295
49,201901,O,959,739,3295
49,201901,O,0,0,3295
49,201901,G,1710,1575,3295
49,201901,O,0,0,3295
49,201901,O,0,0,3295
49,201901,O,265,1724,3295
49,201901,O,1191,2843,3295
49,201901,O,0,0,3295
49,201901,O,915,251,3295
49,201901,O,0,0,3295
49,201901,O,441,2601,3295
49,201901,O,176,2072,3295
49,201901,O,0,0,3295
49,201901,O,0,0,3295
49,201901,U,0,0,3295
49,201901,O,0,0,3295
49,201901,O,0,0,3295
49,201901,O,0,0,3295
49,201901,O,0,0,3295
49,201901,G,0,0,3295
49,201901,G,0,0,3295
50,201901,G,0,0,3295
50,201901,O,684,1225,3295
50,201901,O,0,0,3295
50,201901,G,0,2276,3295
50,201901,O,0,0,3295
50,201901,O,1114,3017,3295
50,201901,O,0,0,3295
50,201901,O,527,918,3295
50,201901,G,0,0,3295
50,201901,G,0,0,3295
50,201901,O,0,0,3295
50,201901,O,0,0,3295
51,201901,O,0,0,3295
51,201901,O,0,0,3295
51,201901,G,0,0,3295
51,201901,O,0,0,3295
51,201901,U,0,0,3295
52,201901,U,0,0,3295
52,201901,G,665,14484,3295
52,201901,O,0,0,3295
52,201901,O,0,0,3295
52,201901,O,0,0,3295
52,201901,U,0,0,3295
57,201901,G,1440,1546,3520
57,201901,U,0,0,3520
57,201901,U,0,0,3520
60,201901,G,0,0,3520
60,201901,O,0,0,3520
60,201901,O,1579,1389,3520
60,201901,U,0,0,3520
60,201901,O,755,1145,3520
60,201901,U,0,0,3520
60,201901,U,0,0,3520
60,201901,U,0,0,3520
60,201901,O,0,0,3520
60,201901,O,1857,2249,3520
60,201901,U,0,0,3520
60,201901,O,0,0,3520
60,201901,G,727,4111,3520
60,201901,G,411,12217,3520
60,201901,G,270,16531,3520
60,201901,U,0,0,3520
60,201901,U,0,0,3520
60,201901,G,842,373,3520
60,201901,O,0,0,3520
62,201901,U,0,0,3520
63,201901,U,0,0,1834
63,201901,O,0,0,1834
63,201901,U,0,0,1834
63,201901,O,0,0,1834
63,201901,S,0,0,1834
63,201901,U,0,0,1834
63,201901,U,0,0,1834
63,201901,O,0,0,1834
63,201901,S,0,0,1834
63,201901,O,0,0,1834
63,201901,S,0,0,1834
63,201901,O,2071,8038,1834
63,201901,U,0,0,1834
63,201901,O,2676,3979,1834
63,201901,O,14158,7732,1834
